id,body,actor,reply,time,class
140,is he yours?,alysssa_b,27,4:58,
141,wow so beautiful,priscilla_lu,28,0:29,
142,wish I was there,karkarw,28,0:50,
143,sweet POW,kingsaqueen,28,0:06,
144,Those trees look amazing,pomipomi,28,1:00,
145,That must have been great!,caffeinated,28,0:47,
146,Hope you had your wide skis on!,jonsmith88,28,5:57,
147,Missing that trip so much right now ☹️,vilbert,29,0:33,
148,OMG I love this picture!,daharms,29,0:31,
149,What hotel did you stay at in Rome? Dreaming about the days when we can travel again (soon I hope) 😊,Sharmathecharma,29,0:49,
150,Love it 💕,c_russ,29,0:12,
151,"Such a beautiful scene, you captured it so well.",juan_photography,29,0:20,
152,Those views are amazing,nickmoree13,29,1:00,
153,Love the flowers!,honeylove,29,1:29,
154,WOW! That looks delicious!!!,kikokano,30,0:01,
155,What recipe did you use? I've been on the hunt for the perfect banana bread and am trying out as many reciptes as possible!,ria_camiii,30,0:19,
156,YUM,pr1ncessdiana,30,0:50,
157,Bring some to me at work tomorrow please! Looks SO yummy 😍,donuts4me,30,0:40,
158,Always a favorite for my family!,breethebaker,30,0:11,
159,Just looking at this is making me hungry LOL,MannyDL34,30,4:23,
160,So when are we having a photoshoot?,kikokano,31,0:05,
161,This looks so good!,poolsey,31,0:47,
162,YES THAT IS MY BESTFRIEND,ian7298,31,0:42,
163,Okay miss photographer!! I see you succeeding!!,JuniperQ,31,0:45,
164,When did I say you could use my camera?,Sharmathecharma,31,3:10,
165,Obviously me!! I miss you girly,alf_e,32,0:19,
166,"After this pandemic is over, count me in",chaelson,32,0:17,
167,"Giirrrllllllll, I’m pulling up to your house right now, you better be ready when I get there",laura_tran,32,0:38,
168,"Time and place, that's all I need",janereeed,32,0:56,
169,You better not go without me!!,Harry_cost1991,32,1:58,
170,What did you buyyyy,MannyDL34,33,0:12,
171,Heck yes! Good picks!,robeats,33,0:46,
172,GOALSSS,ededdneddy,33,6:46,
173,the way the entire public beach saw us eat the ground 😎,Sharmathecharma,34,0:57,
174,I would expect nothing less than this picture quality,poolsey,34,0:52,
175,@Sharmathecharma Wait until I show you the sand burn I got from falling down <3,tastyrobot,34,0:46,
176,"glad you all had a good time, hope you wore sunscreen! 💕",bradlee,34,0:04,
177,Why do you always end up on the ground for every photo op ??!!😂,br.richards,34,1:16,
178,CAN I COME SEE HER BEFORE ???,KatieeeM,35,0:34,
179,The cutest little munchkin,ArchiesAdventures,35,0:03,
180,How can I adopt her? She is so precious,jupiterpride,35,0:32,
181,@jupiterpride You can contact Peak Lab Rescue and they will walk you through the process!,tastyrobot,35,0:41,
182,okay I officially have puppy fever,suzards,35,6:05,
183,omg love you,janereeed,36,0:18,
184,this is so cute,livymilly,36,0:19,
185,Ayyy go heels,kaykay027,36,0:43,
186,My favs. So cute,bradlee,36,0:05,
187,Carolina sky for the Carolina girls,karkarw,36,1:16,
188,Hehe love you,SamTHEMAN,37,0:59,
189,This is so cute,honeylove,37,0:15,
190,So summery I love this,daharms,37,0:10,
191,Eyes on the road please,jhalll,37,0:17,
192,@jhalll We were parked I promise!,suzards,37,0:56,
193,I like dis,pr1ncessdiana,37,6:05,
194,So CUTE!!!!,caffeinated,38,0:37,
195,That is the prettiest dog I've ever seen!!,mewranda,38,0:46,
196,How old is she??,tarakha,38,0:21,
197,OMG where can I get a dog that pretty?,chaelson,38,0:45,
198,"I will never get why people say pitbulls are mean, they're so cute",ArchiesAdventures,38,0:40,
199,Can I come meet your dog?,suzards,38,0:57,
200,Literally the best-looking dog I've ever seen,priscilla_lu,38,4:13,
201,You two are so pretty!,juliag26,39,0:58,
202,We love the friendship!!,james_c,39,0:34,
203,Put this on a Christmas card for me,NoahM1121,39,0:23,
204,Why is Maddy such a fashion icon,aliu,39,0:27,
205,Cutiesssss,KatieeeM,39,0:28,
206,The editing on this photo is everything!,angeletti,39,0:15,
207,TWO pretty best friends,poolsey,39,5:50,
208,"Will only buy you flights if we can elope, and you get me citizenship",poolsey,40,0:19,
209,You literally left the most beautiful country in the world...and came to America...weird flex but okay,angeletti,40,0:18,
210,😍,james_c,40,0:44,
211,"I might not be from New Zealand, I may not have ever been to New Zealand, but I too am missing your homeland",jonsmith88,40,0:01,
212,"We get it, you're from the coolest country in the world with the best world leader this planet has ever seen.",NoahM1121,40,0:13,
213,Take me with you,janereeed,40,6:09,
214,Not you referring to me as a fungus ☹,NoahM1121,41,0:28,
215,I better be athlete's foot and not some ingrown toenail infection,nathan89,41,0:05,
216,Punny,jupiterpride,41,0:29,
217,Wait is that the white house?!?,honeylove,41,0:50,
218,now they look like some fungi's LMAOOO,aliu,41,6:58,
219,LOVE THIS SO MUCH!,NoahM1121,42,0:47,
220,Omg where are these prints from!,livymilly,42,0:06,
221,Aesthetic warning!,artisanalways,42,0:51,
222,Your wall is too ethereal,karkarw,42,0:41,
223,So artsy!,caffeinated,42,4:53,
224,Goals!,donuts4me,43,0:53,
225,Omg where is that mug from,BeatDaTrice,43,0:55,
226,Are you sure you shouldn't switch to decaf?,aliu,43,0:30,
227,This is everything.,caffeinated,43,0:52,
228,Bringing a little Paris to NC??,c_russ,43,1:27,
229,gamer girl!,owen_the_oven,44,0:21,
230,love love love this edit!!!,artisanalways,44,0:45,
231,who knew you liked video games? 🤓,juliag26,44,0:43,
232,this was the coolest exhibit ever!,dariank,44,0:40,
233,where was my invite? ;-),janielee,44,0:57,
234,I hope this was call of duty...,poolsey,44,3:58,
235,love this photo janie! hope you and your friends had a great night! 🤗,poolsey,45,0:27,
236,this pic is insane! what app did you use to edit?,br.richards,45,0:13,
237,actually the best night of my life!,juan_photography,45,0:34,
238,this is so sick! so jealous,kingsaqueen,45,0:28,
239,you were so close! 😱 love him!!!,avi_patell,45,3:55,
240,I think I saw this on the cover of Nat Geo last month,pomipomi,46,0:50,
241,I hope dunes. #Dunesurfing,lukas_m,46,0:48,
242,Red Rock Country not disappointing,jonsmith88,46,0:49,
243,Houndmouth should've written a song about this place too,artisanalways,46,0:51,
244,You're in your element,NoahM1121,46,0:58,
245,Dunes,_walkwoman_,46,1:00,
246,Looking upward,ededdneddy,46,6:56,
247,The best kind of day,ria_camiii,47,0:08,
248,Looking like a powder day,anabohnana,47,0:02,
249,Cliff jumping?,vilbert,47,0:27,
250,Aprés ski,alf_e,47,0:59,
251,#ProtectOurWinters,c_russ,47,2:28,
252,Love this! Some much needed words of wisdom for this Tuesday 🙌🙌,livymilly,48,0:23,
253,We're always enough.,kaykay027,48,0:47,
254,Such an important reminder! Definitely needed this.,priscilla_lu,48,0:55,
255,yes 🙌,BeatDaTrice,48,1:45,
256,"Omg, so jealous! 😫 Hope you're having a great time!",artisanalways,49,0:32,
257,Is this near malibu?? LOVE THIS SPOT!!,KamiT,49,1:00,
258,Need to plan our own trip soon! 🤩,mewranda,49,0:20,
259,And meanwhile i'm stuck at the office 🙄,jupiterpride,49,0:05,
260,"okay, DEF need to head there myself!",anabohnana,49,4:04,
261,Look at you finding the bright side,ria_camiii,50,0:37,
262,"She was right, your outfit is cute!",kikokano,50,0:01,
263,So proud of you for finding the light in every situation,anabohnana,50,0:03,
264,Uugh that’s the worst! I was running out the door yesterday and baby Cali spilled her juice all over me! Had to drop her off at daycare and go on to work with a new juice pattern on my dress.,sweetpea,50,0:35,
265,"Oh no! I don’t know what worse, the stain or the wasted caffeine?!",caffeinated,50,2:32,
266,CAN WE GO NEXT WEEK!!,bradlee,51,0:32,
267,oh my goodness they’re so cute!,dariank,51,0:47,
268,What kind of cows are those!,karkarw,51,0:15,
269,We must go there when I visit!,dana84,51,0:06,
270,hope you washed your hands after petting all of those goats!,ancho-n-cayenne,51,0:26,
271,let’s get a goat for the house,vilbert,51,3:56,
272,Aw how cute!!,suzards,52,0:41,
273,Beautiful pic!,honeylove,52,0:18,
274,Name a cuter pup … I’ll wait,Sharmathecharma,52,0:44,
275,give bubba a hug for me! Miss y’all!,ArchiesAdventures,52,0:46,
276,LOL I luv him,juliag26,52,6:47,
277,lol this would only happen to you,KamiT,53,1:00,
278,just a lil off haha,willjkares,53,0:36,
279,close enough!,pr1ncessdiana,53,0:12,
280,the smiley face makes up for it haha,sam3872,53,0:52,
281,omg SYD!!,MannyDL34,53,5:13,
282,So cute!,donuts4me,54,0:13,
283,"Aw, I do that with my kids every Christmas.",sweetcakers,54,0:56,
284,Those look so yummy!!,debby_sims,54,0:17,
285,Oooo show the finished product!,lucyinurdreams,54,0:40,
286,I bet your Mom is so happy to have you home.,aliu,54,3:34,
287,OMG SO CUTE,mewranda,55,0:16,
288,"Looks so fun, can’t wait to see you!",c_russ,55,0:43,
289,You look so happy 😊,jupiterpride,55,0:21,
290,"Awww, does he have a name??",kingsaqueen,55,0:17,
291,BEST SUMMER EVER!,lisapowell,55,3:38,
292,Love this picture!,kaykay027,56,0:11,
293,So pretty,jupiterpride,56,0:51,
294,Your sweater is so cute!!,daharms,56,0:38,
295,Omg your hair got so long,greatnathan_12,56,0:06,
296,This is such a vibe,laura_tran,56,6:11,
297,Wowww,c_russ,57,0:32,
298,The sky is in insane,artisanalways,57,0:02,
299,This picture is so cool,ancho-n-cayenne,57,0:16,
300,Miss you! Hope you are having fun at Carolina!,alf_e,57,0:54,
301,The water tower though😎😎,greatnathan_12,57,3:28,
302,THE LADDDDDD 😩,ArchiesAdventures,58,0:18,
303,Cute dog! Merry Christmas Eve 🥰,suzards,58,1:00,
304,OMG it’s so cute 😭,avi_patell,58,0:02,
305,Omg how old is he what’s his name🥺,janielee,58,0:36,
306,YOOOOO I love frenchies 🥺,dana84,58,3:54,
307,😂🙌,lukas_m,59,0:54,
308,This gives me Steve Jobs vibes,dommc1,59,0:28,
309,I aspire to be u tbh,tarakha,59,0:49,
310,I love this,MannyDL34,59,0:01,
311,Me during finals season 🤧,kdlee,59,3:10,
312,"so jealous, wish I was there",livymilly,60,0:26,
313,Beautiful picture! Miss my sister,KatieeeM,60,0:08,
314,Pretty! What part of Florida?,janereeed,60,0:16,
315,@janereeed Fort Lauderdale,Lisaaa84,60,0:07,
316,You woke up that early?? Lol,dana84,60,0:40,
317,This is so aesthetic,juliag26,60,0:23,
318,breathtaking 😻,debby_sims,60,5:33,
319,cute! Did you take this pic?,juan_photography,61,0:18,
320,@juan_photography Yes! He let me get so close!,Lisaaa84,61,0:22,
321,Glad to see you getting onto campus some! 😎,lisapowell,61,0:20,
322,Adorable!,janeross,61,1:00,
323,What is he eating??,dana84,61,0:34,
324,So cute! Miss you and hope you’re having fun at UNC! 💙,owen_the_oven,61,0:19,
325,You went to campus without me? 😠,willjkares,61,0:46,
326,@willjkares Come next time!,Lisaaa84,61,1:54,
327,Love this view and this place,dana84,62,0:01,
328,OMG where did you take this??!!,juan_photography,62,0:58,
329,😎😎😎,youngcunningham,62,0:21,
330,Chapel Hill + sunsets = 💜,kaykay027,62,0:06,
331,"name a better place, I’ll wait",karkarw,62,0:24,
332,those look amazing! 🙌🏻,julian.lifts,62,4:24,
333,omg where did you get these?!!😍,ancho-n-cayenne,63,0:12,
334,YUM! Go Tar Heels and go Nandos Nuts,donuts4me,63,0:53,
335,how much were these?!,davidplayshockey,63,0:33,
336,only the best for the Tar Heels!!,sydthebaker,63,0:11,
337,🔥🔥🔥🔥,KamiT,63,0:27,
338,"wow, can I like a post twice??",sweetietooth,63,6:02,
339,OMG that looks delicious!!!,breethebaker,64,0:56,
340,"Ok, I see you, go off",sweetietooth,64,0:54,
341,Peep the misspelled equatorial on your tapestry,BeatDaTrice,64,0:21,
342,Miss you bby! Looks like you are having sm fun at school!,Harry_cost1991,64,0:34,
343,You two are the CUTEST <3,janielee,64,0:03,
344,Since when are you a chef??,nickmoree13,64,0:17,
345,Putting in my meal requests rn for when u come home,artisanalways,64,1:51,
346,Dangggggg great pics,avi_patell,65,0:58,
347,THIS is why we should be talking about the climate crisis,kdlee,65,0:42,
348,Carolina sunsets >>>>>,KamiT,65,0:22,
349,@KamiT they are gorgeous but they don’t compare to B.V.I.’s,sofiaberger,65,0:29,
350,Sooo when are we going to do a photoshoot????,jonsmith88,65,0:06,
351,Take me back to summer ://,janielee,65,4:27,
352,Angel,janeross,66,0:22,
353,I love you Archie,karkarw,66,0:28,
354,He is so darn cute!!! I can’t take it!!!,suzards,66,0:01,
355,Awwwww,janereeed,66,0:26,
356,What a stud!,youngcunningham,66,1:03,
357,So cute! Mind if I share this?,willjkares,67,0:33,
358,Ugh smoosh,tarakha,67,0:31,
359,Such a good boy!,bradlee,67,0:49,
360,Can’t wait to see him this weekend!,kdlee,67,4:48,
361,so cute!!! ily,willjkares,68,0:32,
362,yeah we match… what about it 🙄,sweetcakers,68,0:56,
363,@sweetcakers 😤😤😤,sweetietooth,68,0:46,
364,you’re adorable,ancho-n-cayenne,68,0:17,
365,photo cred 🍑,jonsmith88,68,0:28,
366,i just got those socks the other day! I love them,Lisaaa84,68,0:13,
367,@Lisaaa84 no kidding! Join the club,sweetietooth,68,0:35,
368,wait a second are you wearing leggings under your pants…,arianabuda22,68,0:05,
369,@james_c it was really cold!!,sweetietooth,68,1:14,
370,queennnnn,janereeed,69,0:55,
371,you had to post the one where i look scary,kdlee,69,0:58,
372,@kdlee stop it you’re sexy,sweetietooth,69,0:10,
373,my girls!!! love y’all,poolsey,69,0:18,
374,hell yeah i love craige deck,lukas_m,69,0:54,
375,@lukas_m craige deck is where it’s at,sweetietooth,69,0:12,
376,you are the cutest woman alive!,laurenchou3,69,5:34,
377,"this trip was amazing!! to relax, I spend time with Rebecca",laurenchou3,70,0:52,
378,@laurenchou3 I can’t wait to go again!,anabohnana,70,0:37,
379,sitting on the quad when it’s nice outside is the best,dana84,70,0:29,
380,dinner dates with Elaine make me feel less stressed,nathan89,70,0:50,
381,dinner and long drives with Jenna and Rebecca make me happy after a stressful week,sydthebaker,70,3:30,
382,"this is SO true these days, I couldn't get by without my best friends",sweetpea,71,0:08,
383,"aw I love these girls, I know I can always count on them",Jenna,71,0:09,
384,ur amazing! dinner date soon?,Kathy,71,3:28,
385,Ok art skills,kaykay027,72,0:30,
386,This is so good!!!,livymilly,72,0:07,
387,"Beautiful, didn’t know you were such a good artist",mewranda,72,0:48,
388,I love this!!,janeross,72,0:54,
389,OMG I wanna go there. I LOVE THIS DRAWING,karkarw,72,0:02,
390,This is so pretty,daharms,72,1:29,
391,I’m jealous,dommc1,73,0:37,
392,Why didn’t you take me with you?,nathan89,73,0:09,
393,Great pic!!,youngcunningham,73,0:27,
394,This is so cool and pretty,alysssa_b,73,0:41,
395,Beautiful,kaykay027,73,0:55,
396,Ms. Worldwide,tastyrobot,73,0:46,
397,"Wow you’re so lucky, what a dream vacay",artisanalways,73,1:25,
398,This is so cute!! Miss you guys already :(,janielee,74,0:23,
399,she’s gone but never forgotten.,tastyrobot,74,0:52,
400,did u save me a croissant,youngcunningham,74,0:01,
401,Ok the aesthetic,_walkwoman_,74,0:38,
402,Are u in France or something???,sydthebaker,74,1:55,
403,aw this is cute hehe,ancho-n-cayenne,75,0:01,
404,so pretty!!!,jupiterpride,75,0:47,
405,where is my invite😡😡😡,lisapowell,75,0:43,
406,Omg did you guys go to myrtle!,breethebaker,75,0:15,
407,i look like the hunchback of notre dame,c_russ,75,1:32,
408,Wow! Those look AMAZING,sweetietooth,76,0:05,
409,Delicious! Can I have the recipe?!,breethebaker,76,0:57,
410,They look so fresh and tasty :),lucyinurdreams,76,0:09,
411,I didn’t even know you could make homemade biscotti lol. I’ll have to try it myself!,sydthebaker,76,0:45,
412,Looks so fun to make! Invite me over next time you make them,avi_patell,76,0:24,
413,Yum! Save some for me,snowbird,76,6:49,
414,HA! Looks so fun! Wish I was there,kingsaqueen,77,0:26,
415,Not fair! Wish we got more snow where I lived :(,poolsey,77,0:47,
416,"Looks so beautiful where you are, I’m jealous haha",dariank,77,0:10,
417,Y’all look like you are having a blast! Can’t wait to get some snow here,SamTHEMAN,77,0:30,
418,"So cute! I also love your coat, where did you get it?",janeross,77,0:50,
419,"What an awesome photo, where did y’all go?",jonsmith88,77,6:32,
420,omg lovveee,jupiterpride,78,0:48,
421,so pretty!,KatieeeM,78,0:47,
422,nothing quite like Murph-town!,tastyrobot,78,0:24,
423,miss this and you <3,dana84,78,0:52,
424,I know you took this from the Ingles parking lot hahahah :),pr1ncessdiana,78,3:34,
425,heck yeah we are,pr1ncessdiana,79,0:27,
426,the best fam,jcoop,79,0:16,
427,wish I was with you guys right now!,poolsey,79,0:29,
428,aww love this,janereeed,79,0:25,
429,so cute!,anabohnana,79,0:08,
430,you're officially the family photographer,ededdneddy,79,2:44,
431,Hahah that is so funny I would never do that,marchii2,80,0:22,
432,What about that couch even makes this worth it?,jonsmith88,80,0:56,
433,"I don't care what anyone says, you have that couch in your office, you mean business.",breethebaker,80,0:34,
434,That person could just be normal and get some chairs and tables,dommc1,80,0:20,
435,Imagine having that couch in your home.,pomipomi,80,3:47,
436,Wow that dog is cute,ancho-n-cayenne,81,0:24,
437,Can I borrow that dog for the rest of my life,ArchiesAdventures,81,0:45,
438,Look at the beast of the dog in the back,bradlee,81,0:47,
439,Look at how tiny that dog is,BeatDaTrice,81,0:33,
440,The dog definitely doesn't look happy with you,janeross,81,1:54,
441,"This looks so wonderful, jealous you got out of town!",mianahyde,82,0:52,
442,"Loved going to the lake with you sweetie and having family time. Take a deep breath, you will get through the stress!",sofiaberger,82,0:19,
443,Miss you Kat! See you back in Chapel Hill soon.,chaelson,82,0:01,
444,What a great picture!,_walkwoman_,82,0:35,
445,"I can totally relate, I have been extremely stressed out recently and God’s beauty in nature always helps me relax and return to a normal speed of life. So happy that you have been able to relax and I know you will do great in midterms!",artisanalways,82,4:02,
446,"Love you Kat, can’t wait for more basketball games with you! Go heels!",dana84,83,0:14,
447,"Loved seeing you in the stands as a student and I am so happy you got to watch such a great game, the Heels played well. Hope you are enjoying what you can of your freshman year.",james_c,83,0:54,
448,"So cute! Glad I got to see you at the game, this was the best day of college so far.",sofiaberger,83,0:51,
449,Ahhh go heels!! So happy you got to go and I can’t wait to go to more games when everything is back to normal.,ian7298,83,0:27,
450,I love your jersey! So cute!,daharms,83,2:50,
451,awwwwww🥺,sweetietooth,84,0:41,
452,I miss you two and the beach!,dariank,84,0:25,
453,We’ve gotta get George and Maggie together!,juan_photography,84,0:16,
454,he’s gotten so big!!!!,ArchiesAdventures,84,0:41,
455,CUTIE,_walkwoman_,84,1:18,
456,"We have the prettiest campus and best bell tower, nobody can change my mind",SamTHEMAN,85,0:29,
457,#gdtbath,kingsaqueen,85,0:57,
458,still can’t believe we’re here,eric_hz,85,0:07,
459,i love you and this place so much🥺🥺,kaykay027,85,0:27,
460,heels,KamiT,85,2:36,
461,"Wow, I love this!",julian.lifts,86,0:20,
462,This makes me want to press the button.,pomipomi,86,0:15,
463,This makes me happy.,Harry_cost1991,86,0:08,
464,Can I find this picture on the app?,anabohnana,86,0:47,
465,"Click Brite seems like a fun, happy, and interesting company!",BeatDaTrice,86,4:33,
466,So cute! Glad they are finally getting along😉,SamTHEMAN,87,0:03,
467,Hope the family is doing well❤️,dommc1,87,0:10,
468,Looks like a beautiful day!,jonsmith88,87,0:37,
469,Fun getaway! How long are you guys out of town?,jcoop,87,0:22,
470,Let’s get together with our dogs soon!,ArchiesAdventures,87,5:23,
471,Wow! Sending love from California❤️,juliag26,88,0:48,
472,Beautiful! Is that at the arboretum?,sweetietooth,88,0:17,
473,Glad to see you are getting out even with online classes!,mewranda,88,0:18,
474,Would love to see how the rest of the garden is looking!,karkarw,88,0:46,
475,How is the weather? Spring showers🌧?,daharms,88,4:45,
476,My favs!!! 🥰,sweetpea,89,0:59,
477,aww so cute!,vilbert,89,0:51,
478,love this!,lisapowell,89,0:58,
479,love the fits 😍😍,Harry_cost1991,89,4:47,
480,This is so pretty!,caffeinated,90,0:02,
481,🤩🤩🤩,daharms,90,0:12,
482,🌅🌅,mianahyde,90,0:04,
483,nice view,luke_porter3,90,0:48,
484,Beautiful!,janeross,90,6:11,
485,Take me backkkkk 😭,avi_patell,91,0:04,
486,Can we make silly bandz a thing again,_walkwoman_,91,0:23,
487,Tikitok kids will never know,a_beatles_fan,91,0:15,
488,I peaked in school when I had the most silly bandz in class,greatnathan_12,91,0:07,
489,What I’d do to go back to these times,kdlee,91,0:29,
490,I had so many of these omg,eric_hz,91,0:18,
491,When coolness depended on how far up silly bandz went up your arm,alysssa_b,91,6:48,
492,Not me looking at food porn at 3 am 👀,ancho-n-cayenne,92,0:53,
